Unique_client_ID,Race/Ethnicity,Gender,Age_group_at_assessment,TOTAL_SCORE,Housing_destination,is_perm_housed,Gender_Female,Race_Black,Race_Latino,Race_Asian,Age_Youth,Age_GenX,Age_Boomer,HISTORY_SUB_SCORE,RISKS_SUB_SCORE,SOCIALIZATION_SUB_SCORE,WELLNESS_SUB_SCORE,Housing_status,y_proba
32959,White,Female,45-59,11,Permanently Housed,1,1,0,0,0,0,1,0,1,2,2,6,1,0.27831897
32965,Asian,Male,60+,6,Permanently Housed,1,0,0,0,1,0,0,1,0,2,2,1,1,0.17536674
32970,White,Female,60+,12,Permanently Housed,1,1,0,0,0,0,0,1,2,3,3,3,1,0.27418688
32971,Latino,Male,45-59,14,Permanently Housed,1,0,0,1,0,0,1,0,2,4,3,5,1,0.20272648
32978,Black,Female,60+,6,Permanently Housed,1,1,1,0,0,0,0,1,1,1,0,3,1,0.30295137
32981,Black,Male,45-59,11,Permanently Housed,1,0,1,0,0,0,1,0,2,3,2,4,1,0.23442464
32986,White,Male,60+,3,Permanently Housed,1,0,0,0,0,0,0,1,0,0,1,1,1,0.25329185
32987,Black,Male,45-59,4,Permanently Housed,1,0,1,0,0,0,1,0,2,0,2,0,1,0.20851283
32988,Black,Male,,16,Permanently Housed,1,0,1,0,0,0,0,0,2,4,4,6,1,0.2580005
32989,Black,Female,60+,15,Permanently Housed,1,1,1,0,0,0,0,1,2,4,4,4,1,0.47253427
32990,Latino,Male,,2,Permanently Housed,1,0,0,1,0,0,0,0,1,0,1,0,1,0.1670795
32996,Latino,Female,60+,7,Permanently Housed,1,1,0,1,0,0,0,1,1,0,2,3,1,0.19406499
33000,Latino,Female,45-59,14,Permanently Housed,1,1,0,1,0,0,1,0,2,3,3,6,1,0.2052126
33005,Black,Male,45-59,6,Permanently Housed,1,0,1,0,0,0,1,0,2,0,2,2,1,0.18881083
33006,Black,Male,60+,10,Permanently Housed,1,0,1,0,0,0,0,1,0,3,2,4,1,0.35301828
33008,Black,Male,45-59,5,Permanently Housed,1,0,1,0,0,0,1,0,1,0,0,3,1,0.29649463
33009,Latino,Female,45-59,8,Permanently Housed,1,1,0,1,0,0,1,0,1,3,1,3,1,0.17296389
33010,Black,Male,45-59,15,Permanently Housed,1,0,1,0,0,0,1,0,2,3,4,6,1,0.31231397
33014,Black,Male,,6,Permanently Housed,1,0,1,0,0,0,0,0,1,1,2,2,1,0.17673191
33016,White,Male,60+,13,Permanently Housed,1,0,0,0,0,0,0,1,1,3,3,5,1,0.3820093
33017,Black,Male,45-59,8,Permanently Housed,1,0,1,0,0,0,1,0,1,1,3,3,1,0.32101482
33019,White,Female,60+,12,Permanently Housed,1,1,0,0,0,0,0,1,2,3,3,3,1,0.27418688
33023,Latino,Male,45-59,7,Permanently Housed,1,0,0,1,0,0,1,0,1,0,4,2,1,0.36098996
33025,Black,Male,,15,Permanently Housed,1,0,1,0,0,0,0,0,1,4,4,6,1,0.2848856
33028,White,Male,45-59,8,Permanently Housed,1,0,0,0,0,0,1,0,1,1,3,3,1,0.2576098
33030,White,Female,,8,Permanently Housed,1,1,0,0,0,0,0,0,1,3,2,2,1,0.17026818
33032,White,Male,45-59,11,Permanently Housed,1,0,0,0,0,0,1,0,2,1,3,5,1,0.20488746
33035,Latino,Female,18-24,4,Permanently Housed,1,1,0,1,0,1,0,0,1,0,3,0,1,0.28978023
33041,Black,Male,60+,3,Permanently Housed,1,0,1,0,0,0,0,1,1,0,1,0,1,0.28578964
33049,Black,Male,45-59,3,Permanently Housed,1,0,1,0,0,0,1,0,1,1,1,0,1,0.23733588
33056,Black,Male,,6,Permanently Housed,1,0,1,0,0,0,0,0,2,0,3,1,1,0.17569773
33060,Latino,Male,,5,Permanently Housed,1,0,0,1,0,0,0,0,2,0,0,3,1,0.13992532
33061,White,Male,,12,Permanently Housed,1,0,0,0,0,0,0,0,2,3,4,3,1,0.12822044
33064,White,Male,45-59,6,Permanently Housed,1,0,0,0,0,0,1,0,1,1,3,1,1,0.18708883
33065,Latino,Male,60+,11,Permanently Housed,1,0,0,1,0,0,0,1,1,3,4,2,1,0.22154328
33067,White,Female,45-59,14,Permanently Housed,1,1,0,0,0,0,1,0,2,2,4,6,1,0.24574967
33070,Black,Male,,7,Permanently Housed,1,0,1,0,0,0,0,0,1,2,1,3,1,0.15583286
33076,Latino,Male,18-24,5,Permanently Housed,1,0,0,1,0,1,0,0,1,1,1,2,1,0.19484842
33077,Black,Male,45-59,2,Permanently Housed,1,0,1,0,0,0,1,0,1,0,0,1,1,0.30434737
33079,Black,Female,60+,12,Permanently Housed,1,1,1,0,0,0,0,1,2,3,3,3,1,0.28961128
33084,Black,Male,45-59,9,Permanently Housed,1,0,1,0,0,0,1,0,2,2,3,2,1,0.22550341
33088,Black,Male,,14,Permanently Housed,1,0,1,0,0,0,0,0,2,4,4,4,1,0.22573216
33093,Latino,Male,60+,10,Permanently Housed,1,0,0,1,0,0,0,1,1,3,2,3,1,0.33537796
33102,Latino,Male,45-59,10,Permanently Housed,1,0,0,1,0,0,1,0,2,2,2,4,1,0.15249752
33118,White,Male,45-59,14,Permanently Housed,1,0,0,0,0,0,1,0,2,4,4,4,1,0.21488552
33120,Latino,Male,,15,Permanently Housed,1,0,0,1,0,0,0,0,2,4,3,6,1,0.16429383
33130,White,Female,60+,11,Permanently Housed,1,1,0,0,0,0,0,1,2,2,3,3,1,0.24713832
33132,White,Male,45-59,5,Permanently Housed,1,0,0,0,0,0,1,0,2,0,1,2,1,0.16436712
33137,Black,Male,,11,Permanently Housed,1,0,1,0,0,0,0,0,2,3,3,3,1,0.15952688
33139,White,Male,45-59,14,Permanently Housed,1,0,0,0,0,0,1,0,2,4,3,5,1,0.20838499
33141,White,Male,,15,Permanently Housed,1,0,0,0,0,0,0,0,2,4,4,5,1,0.19113927
